word,value,o_str
drizzle,100,4+18+9+26+26+12+5
reciprocal,100,18+5+3+9+16+18+15+3+1+12
transom,100,20+18+1+14+19+15+13
duologue,100,4+21+15+12+15+7+21+5
personal,100,16+5+18+19+15+14+1+12
encrust,100,5+14+3+18+21+19+20
gauntlet,100,7+1+21+14+20+12+5+20
excellent,100,5+24+3+5+12+12+5+14+20
schoolman,100,19+3+8+15+15+12+13+1+14
underlay,100,21+14+4+5+18+12+1+25
spot check,100,19+16+15+20+0+3+8+5+3+11
bipartite,100,2+9+16+1+18+20+9+20+5
companion,100,3+15+13+16+1+14+9+15+14
smitten,100,19+13+9+20+20+5+14
room-mate,100,18+15+15+13+0+13+1+20+5
acknowledge,100,1+3+11+14+15+23+12+5+4+7+5
honeycomb,100,8+15+14+5+25+3+15+13+2
thickening,100,20+8+9+3+11+5+14+9+14+7
breviary,100,2+18+5+22+9+1+18+25
lubricant,100,12+21+2+18+9+3+1+14+20
plastered,100,16+12+1+19+20+5+18+5+4
surcharge,100,19+21+18+3+8+1+18+7+5
tuppence,100,20+21+16+16+5+14+3+5
undress,100,21+14+4+18+5+19+19
race-meeting,100,18+1+3+5+0+13+5+5+20+9+14+7
nestling,100,14+5+19+20+12+9+14+7
renovate,100,18+5+14+15+22+1+20+5
interfere,100,9+14+20+5+18+6+5+18+5
mummify,100,13+21+13+13+9+6+25
salacious,100,19+1+12+1+3+9+15+21+19
macrocosm,100,13+1+3+18+15+3+15+19+13
Anglo-Indian,100,1+14+7+12+15+0+9+14+4+9+1+14
retiring,100,18+5+20+9+18+9+14+7
profuse,100,16+18+15+6+21+19+5
triply,100,20+18+9+16+12+25
unmanly,100,21+14+13+1+14+12+25
set out,100,19+5+20+0+15+21+20
free-liver,100,6+18+5+5+0+12+9+22+5+18
score-board,100,19+3+15+18+5+0+2+15+1+18+4
depletion,100,4+5+16+12+5+20+9+15+14
swimmer,100,19+23+9+13+13+5+18
broodily,100,2+18+15+15+4+9+12+25
fatalistic,100,6+1+20+1+12+9+19+20+9+3
innovate,100,9+14+14+15+22+1+20+5
temporal,100,20+5+13+16+15+18+1+12
interbreed,100,9+14+20+5+18+2+18+5+5+4
plebiscite,100,16+12+5+2+9+19+3+9+20+5
analysis,100,1+14+1+12+25+19+9+19
gullibly,100,7+21+12+12+9+2+12+25
the Black Death,100,20+8+5+0+2+12+1+3+11+0+4+5+1+20+8
hot-blooded,100,8+15+20+0+2+12+15+15+4+5+4
repress,100,18+5+16+18+5+19+19
debarkation,100,4+5+2+1+18+11+1+20+9+15+14
turn-off,100,20+21+18+14+0+15+6+6
litotes,100,12+9+20+15+20+5+19
starling,100,19+20+1+18+12+9+14+7
quarry,100,17+21+1+18+18+25
pursue,100,16+21+18+19+21+5
geographer,100,7+5+15+7+18+1+16+8+5+18
nutty,100,14+21+20+20+25
Anglophobia,100,1+14+7+12+15+16+8+15+2+9+1
primary,100,16+18+9+13+1+18+25
unbroken,100,21+14+2+18+15+11+5+14
water-bird,100,23+1+20+5+18+0+2+9+18+4
